,Idade,Genero,Estados,Cargo,Carreira,Salario,Experiencia,Raça,Região
637,35.0,Masculino,São Paulo (SP),,,18000.0,de 4 a 6 anos,Branca,Sudeste
638,23.0,Feminino,Rio Grande do Sul (RS),Cientista de dados,Júnior,5000.0,de 3 a 4 anos,Branca,
639,32.0,Masculino,Alagoas (AL),Outra opção,Sênior,14000.0,Mais de 10 anos,Branca,Nordeste
640,27.0,Masculino,Rio Grande do Sul (RS),,,14000.0,de 3 a 4 anos,Branca,
641,32.0,Masculino,São Paulo (SP),,,14000.0,de 7 a 10 anos,Branca,Sudeste
642,34.0,Masculino,Santa Catarina (SC),Engenheiro de dados,Sênior,27500.0,de 4 a 6 anos,Branca,
643,25.0,Masculino,Paraná (PR),,,,,Outra,
644,34.0,Masculino,Minas Gerais (MG),Analista de Dados,Júnior,2500.0,Até 2 anos,Branca,Sudeste
645,34.0,Masculino,Minas Gerais (MG),Cientista de dados,Sênior,10000.0,de 4 a 6 anos,Parda,Sudeste
646,42.0,Masculino,São Paulo (SP),,,22500.0,Até 2 anos,Branca,Sudeste
647,25.0,Masculino,Distrito Federal (DF),,,,,Parda,Centro-Oeste
648,36.0,Masculino,Santa Catarina (SC),Analista de BI,Pleno,3500.0,de 4 a 6 anos,Parda,
649,33.0,Masculino,Minas Gerais (MG),Analista de Dados,Júnior,5000.0,Até 2 anos,Parda,Sudeste
650,30.0,Masculino,Ceará (CE),Engenheiro de dados,Júnior,5000.0,Até 2 anos,Parda,Nordeste
651,40.0,Masculino,Rio de Janeiro (RJ),Cientista de dados,Sênior,18000.0,de 7 a 10 anos,Preta,Sudeste
652,28.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,5000.0,Até 2 anos,Branca,Sudeste
653,34.0,Feminino,Pernambuco (PE),Analista de BI,Júnior,2500.0,Até 2 anos,Parda,Nordeste
654,33.0,Masculino,Rio de Janeiro (RJ),,,18000.0,de 7 a 10 anos,Branca,Sudeste
655,28.0,Feminino,São Paulo (SP),Analista de Dados,Júnior,5000.0,Até 2 anos,Amarela,Sudeste
656,41.0,Masculino,São Paulo (SP),Analista de BI,Sênior,10000.0,Mais de 10 anos,Branca,Sudeste
657,31.0,Masculino,São Paulo (SP),,,22500.0,de 7 a 10 anos,Branca,Sudeste
658,36.0,Masculino,Minas Gerais (MG),Analista de Dados,Sênior,10000.0,Até 2 anos,Branca,Sudeste
659,28.0,Masculino,São Paulo (SP),Cientista de dados,Júnior,5000.0,Até 2 anos,Branca,Sudeste
660,36.0,Feminino,São Paulo (SP),Outra opção,Sênior,14000.0,de 7 a 10 anos,Branca,Sudeste
661,31.0,Feminino,São Paulo (SP),Cientista de dados,Pleno,14000.0,Até 2 anos,Branca,Sudeste
662,35.0,Masculino,Paraná (PR),Engenheiro de dados,Sênior,10000.0,de 3 a 4 anos,Branca,
663,35.0,Feminino,São Paulo (SP),,,18000.0,Mais de 10 anos,Branca,Sudeste
664,24.0,Masculino,Minas Gerais (MG),Analista de Dados,Pleno,5000.0,de 3 a 4 anos,Parda,Sudeste
665,26.0,Feminino,Minas Gerais (MG),Engenheiro de dados,Pleno,5000.0,Até 2 anos,Branca,Sudeste
666,24.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,14000.0,de 4 a 6 anos,Parda,Sudeste
667,35.0,Feminino,Bahia (BA),Analista de BI,Júnior,5000.0,Até 2 anos,Branca,Nordeste
668,44.0,Masculino,Paraná (PR),,,22500.0,de 7 a 10 anos,Branca,
669,33.0,Feminino,Minas Gerais (MG),Analista de Dados,Pleno,7000.0,Até 2 anos,Branca,Sudeste
670,29.0,Feminino,São Paulo (SP),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Branca,Sudeste
671,36.0,Feminino,São Paulo (SP),Analista de BI,Pleno,3500.0,Mais de 10 anos,Preta,Sudeste
672,31.0,Feminino,São Paulo (SP),Outra opção,Sênior,10000.0,de 3 a 4 anos,Não informado,Sudeste
673,27.0,Masculino,Minas Gerais (MG),Cientista de dados,Sênior,14000.0,de 4 a 6 anos,Branca,Sudeste
674,34.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,18000.0,de 4 a 6 anos,Branca,Sudeste
675,26.0,Feminino,São Paulo (SP),,,18000.0,de 3 a 4 anos,Branca,Sudeste
676,20.0,Masculino,São Paulo (SP),,,,,Branca,Sudeste
677,25.0,Masculino,Paraná (PR),Cientista de dados,Pleno,7000.0,de 3 a 4 anos,Branca,
678,30.0,Feminino,São Paulo (SP),Engenheiro de dados,Sênior,10000.0,de 4 a 6 anos,Branca,Sudeste
679,37.0,Masculino,São Paulo (SP),Analista de Dados,Júnior,5000.0,Até 2 anos,Parda,Sudeste
680,29.0,Masculino,Santa Catarina (SC),Analista de BI,Sênior,7000.0,de 3 a 4 anos,Branca,
681,27.0,Masculino,São Paulo (SP),Analista de Dados,Júnior,7000.0,Até 2 anos,Branca,Sudeste
682,27.0,Masculino,São Paulo (SP),Analista de BI,Júnior,5000.0,de 3 a 4 anos,Branca,Sudeste
683,42.0,Feminino,Rio de Janeiro (RJ),Engenheiro de dados,Sênior,14000.0,Mais de 10 anos,Parda,Sudeste
684,47.0,Masculino,São Paulo (SP),,,14000.0,de 7 a 10 anos,Parda,Sudeste
685,29.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,14000.0,de 4 a 6 anos,Branca,Sudeste
686,23.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,2500.0,Até 2 anos,Branca,Sudeste
687,30.0,Feminino,São Paulo (SP),Outra opção,Júnior,1500.0,Até 2 anos,Branca,Sudeste
688,31.0,Masculino,Distrito Federal (DF),,,,,Preta,Centro-Oeste
689,33.0,Masculino,São Paulo (SP),,,22500.0,de 4 a 6 anos,Amarela,Sudeste
690,26.0,Feminino,Paraná (PR),Analista de Dados,Pleno,5000.0,Até 2 anos,Branca,
691,24.0,Masculino,Minas Gerais (MG),Analista de Dados,Júnior,3500.0,de 3 a 4 anos,Parda,Sudeste
692,41.0,Masculino,Mato Grosso do Sul (MS),Engenheiro de dados,Sênior,22500.0,Mais de 10 anos,Branca,Centro-Oeste
693,22.0,Masculino,Espírito Santo (ES),Cientista de dados,Júnior,5000.0,Até 2 anos,Parda,Sudeste
694,30.0,Masculino,Minas Gerais (MG),Analista de Dados,Pleno,3500.0,de 7 a 10 anos,Amarela,Sudeste
695,44.0,Masculino,Rio Grande do Sul (RS),Cientista de dados,Sênior,22500.0,Mais de 10 anos,Branca,
696,30.0,Masculino,Mato Grosso (MT),Cientista de dados,Júnior,1500.0,Até 2 anos,Indígena,Centro-Oeste
697,26.0,Masculino,Espírito Santo (ES),Analista de BI,Sênior,10000.0,de 3 a 4 anos,Preta,Sudeste
698,30.0,Feminino,São Paulo (SP),,,22500.0,de 7 a 10 anos,Branca,Sudeste
699,40.0,Masculino,São Paulo (SP),Engenheiro de dados,Pleno,10000.0,Até 2 anos,Branca,Sudeste
700,36.0,Masculino,Paraná (PR),Outra opção,Sênior,14000.0,Mais de 10 anos,Parda,
701,38.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,14000.0,Mais de 10 anos,Branca,Sudeste
702,35.0,Masculino,Goiás (GO),Analista de BI,Pleno,2500.0,Até 2 anos,Preta,Centro-Oeste
703,36.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,5000.0,de 4 a 6 anos,Parda,Sudeste
704,29.0,Feminino,Minas Gerais (MG),Analista de BI,Sênior,7000.0,de 4 a 6 anos,Branca,Sudeste
705,32.0,Feminino,,Analista de Dados,Júnior,10000.0,Até 2 anos,Branca,Desconhecida
706,23.0,Feminino,Rio de Janeiro (RJ),Cientista de dados,Júnior,5000.0,Até 2 anos,Parda,Sudeste
707,25.0,Masculino,Ceará (CE),Analista de BI,Pleno,5000.0,de 3 a 4 anos,Branca,Nordeste
708,28.0,Masculino,São Paulo (SP),,,10000.0,de 3 a 4 anos,Amarela,Sudeste
709,63.0,Masculino,São Paulo (SP),,,,,Parda,Sudeste
710,32.0,Masculino,São Paulo (SP),Engenheiro de dados,Pleno,7000.0,de 3 a 4 anos,Branca,Sudeste
711,30.0,Feminino,Alagoas (AL),Cientista de dados,Júnior,10000.0,Até 2 anos,Branca,Nordeste
712,32.0,Masculino,Minas Gerais (MG),Engenheiro de dados,Sênior,10000.0,de 7 a 10 anos,Branca,Sudeste
713,29.0,Masculino,São Paulo (SP),Analista de BI,Sênior,10000.0,de 4 a 6 anos,Parda,Sudeste
714,31.0,Feminino,Minas Gerais (MG),,,7000.0,Até 2 anos,Branca,Sudeste
715,36.0,Masculino,Santa Catarina (SC),,,14000.0,Mais de 10 anos,Parda,
716,29.0,Feminino,Minas Gerais (MG),,,,,Branca,Sudeste
717,25.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,5000.0,Até 2 anos,Branca,Sudeste
718,38.0,Masculino,São Paulo (SP),,,27500.0,de 3 a 4 anos,Branca,Sudeste
719,53.0,Feminino,São Paulo (SP),,,40000.0,Mais de 10 anos,Amarela,Sudeste
720,,,,,,,,,Desconhecida
721,29.0,Masculino,Rio de Janeiro (RJ),Analista de BI,Sênior,22500.0,de 4 a 6 anos,Branca,Sudeste
722,22.0,Masculino,Paraná (PR),Analista de BI,Júnior,1500.0,Até 2 anos,Branca,
723,39.0,Feminino,Paraíba (PB),,,,,Branca,Nordeste
724,27.0,Masculino,Santa Catarina (SC),Analista de BI,Pleno,5000.0,Até 2 anos,Branca,
725,29.0,Masculino,São Paulo (SP),Cientista de dados,Pleno,7000.0,Até 2 anos,Branca,Sudeste
726,47.0,Feminino,Ceará (CE),,,14000.0,Mais de 10 anos,Parda,Nordeste
727,57.0,Masculino,Mato Grosso (MT),,,7000.0,Mais de 10 anos,Parda,Centro-Oeste
728,32.0,Masculino,Santa Catarina (SC),Analista de Dados,Sênior,18000.0,de 4 a 6 anos,Branca,
729,27.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 4 a 6 anos,Parda,Sudeste
730,60.0,Masculino,Rio de Janeiro (RJ),,,27500.0,Mais de 10 anos,Branca,Sudeste
731,28.0,Feminino,Rio de Janeiro (RJ),Analista de Dados,Júnior,2500.0,Até 2 anos,Branca,Sudeste
732,42.0,Masculino,Rio de Janeiro (RJ),Outra opção,Júnior,1000.0,Até 2 anos,Parda,Sudeste
733,29.0,Feminino,Paraná (PR),Cientista de dados,Pleno,5000.0,de 3 a 4 anos,Branca,
734,57.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,Mais de 10 anos,Branca,Sudeste
735,37.0,Masculino,São Paulo (SP),,,35000.0,de 7 a 10 anos,Branca,Sudeste
736,27.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,5000.0,de 3 a 4 anos,Branca,Sudeste
737,29.0,Masculino,Sergipe (SE),Cientista de dados,Sênior,10000.0,de 3 a 4 anos,Branca,Nordeste
738,44.0,Masculino,Paraná (PR),Analista de Dados,Sênior,14000.0,Mais de 10 anos,Parda,
