,Unnamed: 0,Idade,Genero,Estados,Cargo,Carreira,Salario,Experiencia,Raça,Região
1364,1364,30.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,40000.0,de 7 a 10 anos,Branca,Sudeste
1365,1365,54.0,Feminino,São Paulo (SP),Outra opção,Sênior,14000.0,Mais de 10 anos,Amarela,Sudeste
1366,1366,,,,,,,,,Desconhecida
1367,1367,34.0,Feminino,São Paulo (SP),Engenheiro de dados,Sênior,18000.0,Mais de 10 anos,Branca,Sudeste
1368,1368,34.0,Feminino,Minas Gerais (MG),Engenheiro de dados,Pleno,7000.0,de 3 a 4 anos,Parda,Sudeste
1369,1369,22.0,Masculino,Paraná (PR),Analista de Dados,Pleno,5000.0,Até 2 anos,Branca,Sul
1370,1370,27.0,Feminino,Minas Gerais (MG),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Parda,Sudeste
1371,1371,36.0,Feminino,Paraná (PR),Outra opção,Pleno,5000.0,Até 2 anos,Branca,Sul
1372,1372,34.0,Feminino,Minas Gerais (MG),,,,,Preta,Sudeste
1373,1373,31.0,Masculino,Mato Grosso (MT),Analista de Dados,Sênior,10000.0,Até 2 anos,Branca,Centro-Oeste
1374,1374,23.0,Masculino,São Paulo (SP),Analista de BI,Pleno,5000.0,Até 2 anos,Parda,Sudeste
1375,1375,25.0,Masculino,Mato Grosso (MT),Engenheiro de dados,Sênior,10000.0,de 4 a 6 anos,Branca,Centro-Oeste
1376,1376,38.0,Feminino,Espírito Santo (ES),Engenheiro de dados,Sênior,14000.0,de 4 a 6 anos,Branca,Sudeste
1377,1377,32.0,Masculino,,,,27500.0,Mais de 10 anos,Branca,Desconhecida
1378,1378,38.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Sênior,14000.0,Mais de 10 anos,Branca,Sudeste
1379,1379,37.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,35000.0,Mais de 10 anos,Branca,Sudeste
1380,1380,30.0,Masculino,Rio de Janeiro (RJ),Analista de BI,Sênior,7000.0,de 4 a 6 anos,Branca,Sudeste
1381,1381,32.0,Masculino,Paraná (PR),Analista de Dados,Sênior,14000.0,de 3 a 4 anos,Branca,Sul
1382,1382,26.0,Feminino,Pernambuco (PE),Analista de BI,Pleno,3500.0,de 3 a 4 anos,Branca,Nordeste
1383,1383,32.0,Feminino,Minas Gerais (MG),Outra opção,Pleno,5000.0,Até 2 anos,Amarela,Sudeste
